"","id","blurb","launch","created"
"3181",422193538,"""One Part Circus, Two Parts Burlesque, A Pinch of Class and a Dash of Trash; Circ X returns! @ Fillmore at the Jackie Gleason Theater."",",1405982056,1403141799
"3182",528404973,"""'Pushers' is an exciting new play and the first project for brand new theatre company, Ain't Got No Home Productions."",",1406896752,1406738895
"3214",787603539,"""EUPHORIA! is a new play about the decriminalization of drugs, and its profound effect on both the criminals in prison and \""The Man.\"""",",1406713041,1405013404
"3240",1694122812,"""The Hurricane is a new musical comedy based on Shakespeare's The Tempest set on Fire Island. Debuting at FringeNYC in August."",",1405512906,1404758239
"3295",1812779930,"""Single Line Theatre's fundraiser for its inaugural production:"",",1405851817,1404237538
"3333",2107474489,"""Fast paced, two hander which uses headphone verbatim technique to give an insight into the everyday lives of Leeds city locals."",",1405971690,1401991085
"3399",1975920175,"""Tut'Zanni is taking our latest show, \""Love Letter Lost\"" to DC as part of the Capital Fringe Festival!"",",1404267834,1403888634
"3508",319326270,"""We need your help purchasing a stage for our production of the Wizard of Oz! This program is helping children with autism. Thank you!"",",1406580436,1405228254
"3556",1166288755,"""Stranded off a desert highway on a roadtrip, a young musician goes on an odyssey of self-discovery with the characters of Greek myth."",",1404198878,1399060798
"3559",211289593,"""My 9 year old daughter has decided to put on a play with her friends.  She is Miss creativity and an entrepreneur.  Entertain her wish!"",",1404325729,1404074508
"3579",1719650325,"""Outdoor play about Emerson and Thoreau’s mutual love affair with the natural world. Created by Emerson's great-great-great-grandson."",",1405980636,1405290721
"3581",1092687224,"""The Sagas of Noggin the Nog: a family play based on the original films of Postgate and Firmin is going to Edinburgh and beyond!"",",1404382173,1404123411
"3589",1522833705,"""The Secret is a historical drama about a lawyer who worked for the Spanish Inquisition & crossed the Atlantic with Menendez in 1565."",",1404927440,1404923628
"3640",1079698068,"""Using the tradition of stand-up, short film, and theatre, \""Kelsey Grammer...\"" explores the mind of one newly-21 year old male"",",1405277389,1405045494
"3772",687650390,"""I'm making soup and I want YOU to choose the ingredients."",",1404687026,1404684028
"3798",246788153,"""Walmart decided they wanted our space, so we had to move to a new theater. Help us make it an awesome space by painting it all black!"",",1406087055,1403320418
"3851",1558861984,"""An original musical about the extraordinary in the ordinary. Nineteen songs and an afternoon in a small town bar in northern Minnesota."",",1405434546,1402874514
"3919",822264270,"""Ancient Greece. Giddy, champagne soaked debauchery celebrating the Trojan War's end leads to a shocking and deadly surprise."",",1404915822,1403211839
"4004",1069487038,"""Scott & Patti are looking to expand our brand. S&P want to bring you a bigger and better show, and this is your chance to contribute."",",1405872675,1392775466
"4064",1460072264,"""The Hive Theatre Company presents an exciting new season of theatre, unlike anything you've ever seen before! Join the revolution!"",",1405469046,1403747820
"4268",2110925445,"""New play for the Edinburgh Fringe 2014, Zombies and Shakespeare what more could you ask for?"",",1404245459,1397656109
"4269",1208498005,"""An extraordinary, punchy and provocative new play, providing a voice for women to address their sexuality and self worth. #EDFREAK"",",1405509510,1404579016
"4434",1223084539,"""Surprise! It's a single mom! How to decide to have a baby after you've already had it.  A dark comedy in FringeNYC this August."",",1405979811,1403107921
"4436",157242760,"""I have been accepted into Trinity College, Dublin for the BA (hons) in acting, but I can't get any UK student loans to go."",",1405970240,1405675512
"4448",1188321081,"""Los Angeles Premiere of \nNeil LaBute's In A Dark Dark House (Directed by Larry Moss)"",",1404239379,1401650446
"4467",905405879,"""Your favorite outdoor film festival needs your help! Help us raise funds to purchase a new screen, projector, and audio equipment!"",",1404739819,1403640317
"4470",331494102,"""'Top Gun: The Musical' takes flight in downtown Minneapolis. The best of the 80's movie and musical theater together at last!"",",1404509568,1403747901
"4485",842391212,"""Shakespeare's OTHELLO set in Venezia FC; a football club. Is there a better setting to explore jealousy, lust and reputation in 2014?"",",1405983553,1405458269
"4491",68330064,"""The actors and the viewers of our theater are DIVERS. We'll create the underwater stage, the performance and the underwater auditorium."",",1405360754,1396223541
"4528",1790176284,"""I am acting on my life-long goal of starting a theater arts group for nyc children to dance, sing, act & have fun learning the arts.."",",1405721752,1405047608
"4529",1532978830,"""Death Shall Have No Dominion explores reputation - what it is to have and what it is to lose. Crowned or Commoner-Reputation is Fragile"",",1404487973,1403090961
"4586",1125705941,"""Save a historic Local theater."",",1405363748,1405117354
"4638",507195974,"""\""The Hostages\"" is about a bank robbery gone wrong, as we learn more about each characters, we question who are the actually hostages..."",",1406004589,1404773234
"4661",931478899,"""A devised electronic opera which brings its audience - alone - into an exploration of subconscious desires."",",1405787468,1405781044
"4686",1787346799,"""We are building a 45 Foot Pirate ship and mooring it off the Florida on an Unnamed Island to stage acoustic music shows."",",1405444576,1398862046
"4700",1096535791,"""A BRAND NEW THEATRICAL EVENT THAT BRINGS BURNING MAN TO YOU"",",1405710080,1381464001
"4709",1573908688,"""Our goal is to perform the full production at various theaters and schools.  Funds will be used for theaters, actors, and musicians."",",1405992147,1404429237
"4712",907066271,"""Help discover the hidden talent among under-served youth in the Twin Cities.   ''Wild Love''.   A little show...with BIG plans."",",1405547256,1396960879
